Prec_ID	Settype	District_name	District	Precint	Attached	Total_Voters	Special_voters	Turnout12	Turnout17	Turnout	Free_georgia	NDP	UNM	Just_georgia	CDM	Popular_movement	Freedom_Zviadi	Georgian_troupe	New_rights	Peoples_party	Kostava_society	Future_georgia	Georgian_workers	Labor	Sportsmens_union	GDC	Annulled
82047	Rural	შუახევის	82	47		198	2	77	131	147	0	1	102	0	11	0	0	0	0	0	0	0	0	5	1	21	5
82048	Rural	შუახევის	82	48		220	3	35	113	146	0	3	82	3	8	0	0	0	2	0	0	0	0	1	0	46	1
82049	Rural	შუახევის	82	49		95	1	46	65	68	0	0	51	1	9	0	0	0	0	0	0	0	0	1	0	5	1
83001	Small-Medium(5-15K)	ხელვაჩაურის	83	1		1448	10	376	757	861	1	1	197	1	8	1	1	0	2	0	0	0	0	5	0	621	21
83002	Small-Medium(5-15K)	ხელვაჩაურის	83	2		1360	6	266	685	840	0	0	264	2	19	0	0	0	3	0	0	0	0	9	0	488	54
83003	Rural	ხელვაჩაურის	83	3		1412	9	335	764	898	2	1	219	3	10	0	0	0	3	0	0	0	0	7	0	636	16
83004	Rural	ხელვაჩაურის	83	4		893	5	203	408	463	2	1	86	0	17	0	1	0	2	0	0	0	0	5	0	341	8
83005	Rural	ხელვაჩაურის	83	5		1557	2	293	718	898	8	1	198	6	13	0	0	0	7	0	0	0	0	3	2	628	30
83006	Rural	ხელვაჩაურის	83	6		759	10	222	431	501	2	1	140	4	7	0	0	0	1	0	0	1	0	9	1	308	26
83007	Rural	ხელვაჩაურის	83	7		720	7	220	414	457	1	0	135	1	6	0	0	0	1	0	0	0	1	6	0	289	17
83008	Rural	ხელვაჩაურის	83	8		1159	5	290	542	659	2	0	183	1	13	1	0	0	3	0	1	0	1	5	1	427	19
83009	Rural	ხელვაჩაურის	83	9		1212	6	166	359	409	0	0	143	0	15	0	0	0	1	0	0	0	0	3	1	235	11
83010	Rural	ხელვაჩაურის	83	10		999	6	219	490	611	0	0	168	0	26	0	0	0	1	0	0	0	0	1	0	403	9
83011	Rural	ხელვაჩაურის	83	11		586	10	189	343	376	1	1	99	0	7	0	0	0	0	0	0	0	0	3	1	253	10
83012	Rural	ხელვაჩაურის	83	12		1395	8	291	651	760	1	0	179	1	8	0	0	2	0	0	0	0	0	0	0	548	8
83013	Rural	ხელვაჩაურის	83	13		1351	9	296	599	736	17	0	150	0	10	0	1	0	0	0	0	1	0	3	1	477	76
83014	Rural	ხელვაჩაურის	83	14		1049	2	255	503	588	1	1	178	1	17	1	0	0	2	0	0	0	0	6	0	368	13
83015	Rural	ხელვაჩაურის	83	15		1427	4	394	720	815	1	1	319	4	15	0	0	1	0	10	0	0	0	22	0	419	14
83016	Rural	ხელვაჩაურის	83	16		1277	3	303	667	751	9	0	231	3	10	0	0	0	24	0	2	0	0	6	0	439	22
83017	Rural	ხელვაჩაურის	83	17		1545	6	309	720	896	2	1	278	1	14	0	0	1	1	0	1	0	0	9	1	562	24
83018	Rural	ხელვაჩაურის	83	18		1608	7	308	765	936	0	1	219	2	26	0	0	0	3	0	0	3	0	11	0	655	16
83019	Rural	ხელვაჩაურის	83	19		1151	10	227	455	564	1	0	154	0	7	0	0	0	1	0	0	0	0	6	0	380	14
83020	Rural	ხელვაჩაურის	83	20		1507	8	359	757	877	0	0	272	0	22	0	0	1	4	0	0	0	0	12	0	542	23
83021	Rural	ხელვაჩაურის	83	21		1450	6	290	650	836	3	1	222	5	15	0	1	1	0	0	0	0	0	10	0	554	23
83022	Rural	ხელვაჩაურის	83	22		1320	2	302	644	805	1	0	202	0	22	0	0	0	12	0	0	0	0	9	0	538	21
83023	Rural	ხელვაჩაურის	83	23		856	9	237	470	558	0	0	118	0	25	0	0	1	4	0	0	0	0	5	1	394	10
83024	Rural	ხელვაჩაურის	83	24		1494	6	357	732	839	2	0	175	0	19	0	0	0	2	0	0	0	0	10	0	608	23
83025	Rural	ხელვაჩაურის	83	25		612	10	130	312	373	1	0	64	0	9	0	0	0	1	1	0	1	0	6	0	284	6
83026	Rural	ხელვაჩაურის	83	26		540	10	123	222	259	0	0	72	0	3	0	0	0	3	0	0	0	0	6	1	168	6
83027	Rural	ხელვაჩაურის	83	27		698	41	207	506	566	3	2	309	2	19	0	0	0	0	0	0	0	0	4	1	219	7
83028	Rural	ხელვაჩაურის	83	28		1124	11	300	629	708	1	0	294	4	35	0	0	0	2	0	0	0	1	11	0	346	14
83029	Small-Medium(5-15K)	ხელვაჩაურის	83	29		1253	6	303	695	851	0	2	316	2	23	0	0	0	4	0	0	0	0	10	0	476	18
83030	Rural	ხელვაჩაურის	83	30		1425	8	337	757	913	0	0	213	3	14	0	0	0	3	0	0	0	0	20	0	632	18
83031	Rural	ხელვაჩაურის	83	31		1111	7	324	600	732	2	1	243	0	13	0	0	1	2	0	0	0	0	14	0	440	16
83032	Rural	ხელვაჩაურის	83	32		977	9	210	473	564	1	0	161	1	24	0	0	0	1	1	1	2	0	7	1	348	15
83033	Rural	ხელვაჩაურის	83	33		1493	3	393	800	1018	0	1	352	2	31	0	0	0	7	0	0	0	0	16	3	582	24
83034	Rural	ხელვაჩაურის	83	34		863	5	243	481	567	0	0	184	2	35	0	0	2	1	0	0	0	0	9	0	307	27
83035	Rural	ხელვაჩაურის	83	35		1466	6	334	711	806	1	1	215	1	27	1	0	1	10	0	0	0	0	15	0	507	27
83036	Rural	ხელვაჩაურის	83	36		683	4	218	408	441	0	0	185	0	26	0	0	1	0	0	0	2	0	5	2	213	7
83037	Rural	ხელვაჩაურის	83	37		1284	3	415	789	908	2	0	298	1	43	0	0	0	4	0	0	0	0	7	2	541	9
83038	Rural	ხელვაჩაურის	83	38		567	2	148	348	380	0	0	135	0	16	0	0	1	1	0	0	0	0	2	0	209	16
83039	Rural	ხელვაჩაურის	83	39		557	1	111	298	337	0	1	120	1	22	0	0	0	2	0	0	0	0	3	0	178	10
83040	Rural	ხელვაჩაურის	83	40		324	3	85	217	240	0	0	106	0	5	0	0	0	0	0	0	0	0	3	0	121	5
83041	Rural	ხელვაჩაურის	83	41		476	2	100	281	321	0	3	123	2	5	0	0	0	4	0	0	0	0	5	0	171	8
83042	Rural	ხელვაჩაურის	83	42		310	31	102	223	246	0	0	115	0	4	0	0	0	0	0	0	0	0	2	0	118	6
83043	Rural	ხელვაჩაურის	83	43		789	40	210	467	541	0	0	293	0	21	0	0	0	5	0	0	0	0	10	0	203	9
83044	Rural	ხელვაჩაურის	83	44		510	0	150	310	371	1	0	112	5	14	0	1	0	8	0	0	0	0	2	0	218	10
84001	Small (<5K)	ხულოს	84	1		831	6	238	484	556	1	0	344	1	10	0	0	0	4	0	0	0	0	2	2	170	22
84002	Rural	ხულოს	84	2		545	2	69	244	344	0	3	244	2	2	0	0	0	6	0	0	0	0	1	0	76	10
84003	Rural	ხულოს	84	3		377	1	75	176	210	0	0	109	0	7	0	0	0	1	0	0	0	0	1	0	86	6
84004	Rural	ხულოს	84	4		894	1	183	407	497	1	0	221	3	11	0	0	0	14	0	0	0	0	1	0	237	8
84005	Rural	ხულოს	84	5		547	3	101	238	308	0	1	222	1	16	0	0	0	0	0	0	0	0	1	0	62	5
84006	Rural	ხულოს	84	6		384	1	100	198	243	2	1	140	1	6	0	0	0	4	0	0	0	0	2	0	78	9
84007	Rural	ხულოს	84	7		624	3	88	291	349	1	0	165	2	32	0	0	0	1	1	1	0	0	5	1	130	10
84008	Rural	ხულოს	84	8		460	2	141	254	301	0	0	198	0	11	0	0	0	6	0	0	0	0	1	0	83	1
84009	Small (<5K)	ხულოს	84	9		682	1	150	339	391	1	1	180	1	18	1	1	2	2	0	0	0	0	12	0	162	10
84010	Rural	ხულოს	84	10		473	5	125	280	306	0	0	191	0	20	0	0	0	6	0	0	0	7	0	0	71	11
84011	Rural	ხულოს	84	11		655	3	77	245	333	2	2	171	1	18	0	1	1	0	0	0	0	0	3	0	126	8
84012	Rural	ხულოს	84	12		1054	1	127	478	571	1	0	229	0	10	1	0	0	4	0	0	0	0	18	1	294	13
84013	Rural	ხულოს	84	13		395	4	84	224	269	0	2	106	0	8	0	0	0	1	0	0	0	0	1	0	142	9
84014	Rural	ხულოს	84	14		541	0	80	263	340	0	0	166	1	4	0	1	0	2	0	0	0	0	0	0	159	7
84015	Rural	ხულოს	84	15		322	2	81	163	199	0	0	124	0	4	0	0	0	2	0	0	0	0	3	0	57	9
84016	Rural	ხულოს	84	16		374	3	88	194	235	0	0	178	1	7	0	0	0	0	0	0	0	0	4	0	33	12
84017	Rural	ხულოს	84	17		646	0	137	330	384	4	0	193	0	15	0	0	0	7	0	0	0	0	4	0	148	13
84018	Rural	ხულოს	84	18		1177	0	268	641	735	1	1	419	0	51	1	1	0	1	0	0	1	0	8	0	218	29
84019	Rural	ხულოს	84	19		784	2	137	408	492	8	1	290	1	21	0	0	0	7	0	0	0	1	7	0	142	14
84020	Rural	ხულოს	84	20		218	3	78	156	176	0	0	122	0	5	0	0	0	1	0	0	0	0	4	0	42	2
84021	Rural	ხულოს	84	21		290	2	82	184	203	2	2	125	0	8	0	0	0	7	0	0	0	0	3	0	53	3
84022	Rural	ხულოს	84	22		254	2	69	126	163	0	0	98	0	8	0	0	0	0	0	0	0	0	0	0	53	4
84023	Rural	ხულოს	84	23		790	35	183	341	406	5	0	203	2	11	0	0	0	15	0	0	0	0	7	0	126	37
84024	Rural	ხულოს	84	24		536	1	193	323	358	4	1	239	1	7	0	0	0	0	0	0	0	0	2	0	88	15
84025	Rural	ხულოს	84	25		429	1	95	225	287	6	0	131	0	10	0	0	0	3	0	0	0	0	4	0	124	9
